"신규진입
키워드",키워드,카테고리,"브랜드
키워드","쇼핑성
키워드",경쟁률,"최근
1개월
검색량","예상
1개월
검색량","예상1개월
검색량
상승률","최근
3개월
검색량","예상
3개월
검색량","예상3개월
검색량
상승률","작년
검색량","작년
최대검색
월","작년최대
검색월
검색량",계절성,"계절성
월","네이버
상품수","네이버
해외
상품수","네이버
평균가","네이버
경쟁강도","네이버
일반배송비율","네이버
해외배송비율","네이버
묶음상품비율","쿠팡
평균가","쿠팡
총리뷰수","쿠팡
최대리뷰수","쿠팡
평균리뷰수","쿠팡
로켓배송비율","쿠팡
판매자로켓
배송비율","쿠팡
일반배송비율","쿠팡
해외배송비율","쿠팡
해외배송
총리뷰수","쿠팡
해외배송
최대리뷰수","쿠팡
해외배송
평균리뷰수"
X,wf2520hceed,디지털/가전>생활가전,X,O,0.07,1190,1804,51.60%,3598,4805,33.55%,4565,11,1013,있음,"8,9,10,11,12",87,0,2406427,높음,97.50%,2.50%,2.50%,1977842,17876,4024,662,62.96%,3.70%,33.33%,0.00%,0,0,0
X,아쿠아픽,디지털/가전>생활가전,O,O,0.08,17890,18090,1.12%,55291,47713,-13.71%,306007,1,36099,없음,없음,1380,45,57056,높음,100.00%,0.00%,25.00%,49531,66690,17208,2470,66.67%,11.11%,22.22%,0.00%,0,0,0
X,아카라도어락,디지털/가전>생활가전,O,X,0.08,7990,4319,-45.94%,29987,23780,-20.70%,43142,10,14505,있음,"9,10",677,304,326600,높음,87.50%,12.50%,2.50%,296407,6538,2525,242,29.63%,7.41%,48.15%,14.81%,0,0,0
X,코스트코스팀다리미,디지털/가전>생활가전,X,O,0.08,4280,3552,-17.01%,9840,12416,26.18%,6913,12,1003,없음,없음,324,27,80964,중간,100.00%,0.00%,0.00%,99733,48799,43273,1807,11.11%,11.11%,70.37%,7.41%,0,0,0
O,보풀제거기ap8000,디지털/가전>생활가전,,,0.08,170,0,,170,0,,0,,0,없음,없음,14,0,18221,낮음,100.00%,0.00%,7.14%,29957,60338,34471,2234,40.74%,22.22%,33.33%,3.70%,251,251,251
O,아이클관절스탠드,디지털/가전>생활가전,,X,0.08,600,0,,647,0,,0,,0,없음,없음,50,3,94516,높음,100.00%,0.00%,0.00%,89535,3043,1084,112,40.74%,33.33%,25.93%,0.00%,0,0,0
X,wd80f25chy,디지털/가전>생활가전,,X,0.09,2450,0,,8361,0,,0,,0,없음,없음,214,0,2596528,높음,100.00%,0.00%,2.50%,1571805,25060,5679,696,30.56%,0.00%,69.44%,0.00%,0,0,0
X,삼성워시타워,디지털/가전>생활가전,O,O,0.10,4670,4879,4.48%,14551,13895,-4.51%,66146,1,7821,없음,없음,475,4,1867524,높음,100.00%,0.00%,0.00%,2778974,10135,2038,375,51.85%,0.00%,48.15%,0.00%,0,0,0
O,오아클린이워터b,디지털/가전>생활가전,O,O,0.10,1250,1229,-1.68%,4412,3161,-28.35%,27083,2,2880,없음,없음,128,1,32033,중간,95.00%,5.00%,2.50%,31112,36838,13394,1023,44.44%,30.56%,25.00%,0.00%,0,0,0
X,워터테라픽,디지털/가전>생활가전,O,O,0.10,1440,1827,26.88%,4383,3440,-21.51%,32662,2,3777,없음,없음,142,31,60729,중간,97.50%,2.50%,0.00%,68699,45352,17203,1679,22.22%,51.85%,25.93%,0.00%,0,0,0
X,한경희스팀다리미,디지털/가전>생활가전,O,O,0.11,12740,12160,-4.55%,42980,34079,-20.71%,132351,5,16162,없음,없음,1421,70,93359,높음,100.00%,0.00%,50.00%,88036,20181,3499,747,33.33%,22.22%,29.63%,14.81%,0,0,0
X,베스틴도어락,디지털/가전>생활가전,O,O,0.11,4560,4944,8.42%,16692,15210,-8.88%,58570,11,5850,없음,없음,521,23,335304,높음,100.00%,0.00%,30.00%,289457,1683,475,62,85.19%,3.70%,11.11%,0.00%,0,0,0
X,wd80f25chw,디지털/가전>생활가전,,X,0.11,2530,0,,6560,0,,0,,0,없음,없음,282,0,2471774,높음,100.00%,0.00%,2.50%,1225059,3116,2062,86,36.11%,5.56%,55.56%,2.78%,0,0,0
X,sc5gmr81a,디지털/가전>생활가전,X,O,0.12,2420,0,,6227,0,,0,,0,없음,없음,301,0,1824830,높음,100.00%,0.00%,2.50%,857525,646,244,18,37.14%,11.43%,45.71%,5.71%,1,1,1
X,미닉스미니건조기,디지털/가전>생활가전,O,O,0.12,9390,12481,32.92%,26916,29064,7.98%,196715,7,22103,없음,없음,1154,65,189298,높음,80.00%,20.00%,5.00%,298990,26426,3987,978,25.93%,11.11%,55.56%,7.41%,1,1,1
X,wf25cb8895be,디지털/가전>생활가전,X,O,0.12,2480,2655,7.06%,7405,6005,-18.91%,24140,1,3155,없음,없음,299,0,1936144,높음,100.00%,0.00%,2.50%,1980332,12382,6457,353,28.57%,0.00%,71.43%,0.00%,0,0,0
X,워터픽,디지털/가전>생활가전,O,O,0.13,44970,45891,2.05%,140056,126988,-9.33%,666046,1,63368,없음,없음,5826,2917,102858,높음,77.50%,22.50%,22.50%,149184,8344,3939,309,25.93%,29.63%,40.74%,3.70%,27,27,27
X,df24cb9900cr,디지털/가전>생활가전,X,O,0.13,2090,2599,24.35%,5679,7225,27.22%,28643,1,3341,없음,없음,274,1,1671885,높음,100.00%,0.00%,2.50%,590508,2830,1874,80,11.43%,5.71%,74.29%,8.57%,21,7,7
X,t19mx8a,디지털/가전>생활가전,X,O,0.13,3410,3434,0.70%,11516,8219,-28.63%,24740,8,2689,없음,없음,446,0,760552,높음,97.50%,2.50%,2.50%,690210,13343,2389,494,29.63%,0.00%,66.67%,3.70%,0,0,0
X,wf2420hcvvc,디지털/가전>생활가전,X,O,0.13,3080,2686,-12.79%,7920,7005,-11.55%,26398,1,3684,없음,없음,390,0,1223860,중간,100.00%,0.00%,2.50%,1792890,8672,2033,321,74.07%,0.00%,22.22%,3.70%,7,7,7
X,오아구강세정기,디지털/가전>생활가전,O,O,0.13,4160,3488,-16.15%,14064,11046,-21.46%,68424,1,6887,없음,없음,535,14,34133,높음,100.00%,0.00%,25.00%,43903,36214,17208,1341,51.85%,7.41%,37.04%,3.70%,11,11,11
X,wd90f25chy,디지털/가전>생활가전,X,O,0.13,3270,0,,10743,0,,0,,0,없음,없음,427,0,828186,중간,100.00%,0.00%,2.50%,1980024,8674,2128,247,25.71%,14.29%,60.00%,0.00%,0,0,0
X,아기사랑세탁기,디지털/가전>생활가전,O,O,0.14,9950,9148,-8.06%,34276,26812,-21.78%,164026,8,16729,없음,없음,1374,197,374304,높음,97.50%,2.50%,5.00%,295631,5985,3220,221,14.81%,18.52%,44.44%,22.22%,12,9,2
X,w20whn,디지털/가전>생활가전,X,O,0.14,4870,7154,46.90%,18037,20537,13.86%,81725,10,8918,없음,없음,660,0,2810296,높음,100.00%,0.00%,7.50%,2487012,12919,2033,478,48.15%,0.00%,48.15%,3.70%,1,1,1
X,위닉스미니건조기,디지털/가전>생활가전,O,O,0.14,5430,5404,-0.48%,15001,13266,-11.57%,111194,5,12368,없음,없음,764,19,406210,높음,92.50%,7.50%,15.00%,378166,15791,3987,584,33.33%,7.41%,48.15%,11.11%,0,0,0
O,wf2522hdbba,디지털/가전>생활가전,X,O,0.14,1230,1152,-6.34%,4165,2927,-29.72%,7442,10,1424,있음,"7,8,9,10,11",177,0,2331326,높음,100.00%,0.00%,2.50%,2062255,9229,2033,341,66.67%,0.00%,33.33%,0.00%,0,0,0
O,wf24d20cwwc,디지털/가전>생활가전,X,O,0.14,1460,1746,19.59%,3935,3606,-8.36%,17232,7,1958,없음,없음,211,0,2031034,높음,100.00%,0.00%,2.50%,1758368,19689,6450,729,66.67%,0.00%,29.63%,3.70%,0,0,0
X,wa16cg6441by,디지털/가전>생활가전,X,O,0.15,3240,2974,-8.21%,9732,8022,-17.57%,31416,9,3411,없음,없음,482,0,429346,높음,100.00%,0.00%,2.50%,455852,42484,7699,1573,37.04%,11.11%,48.15%,3.70%,450,450,450
X,w20wd,디지털/가전>생활가전,X,O,0.15,3340,5099,52.66%,9730,11225,15.36%,77204,1,9929,없음,없음,517,2,3184713,높음,97.50%,2.50%,7.50%,2628506,9854,2030,364,51.85%,0.00%,44.44%,3.70%,0,0,0
X,wd90f25chb,디지털/가전>생활가전,X,O,0.15,1820,0,,5618,0,,0,,0,없음,없음,267,0,3126023,높음,100.00%,0.00%,2.50%,2073794,4254,2136,121,25.71%,14.29%,60.00%,0.00%,0,0,0
X,삼성통돌이세탁기19kg,디지털/가전>생활가전,O,O,0.17,1720,1410,-18.02%,3722,2039,-45.22%,13396,7,1760,없음,없음,295,0,458930,높음,92.50%,7.50%,0.00%,643218,25375,7714,939,48.15%,0.00%,51.85%,0.00%,0,0,0
X,라문아물레또,디지털/가전>생활가전,O,O,0.17,3230,2228,-31.02%,11378,11093,-2.50%,61576,1,8439,없음,없음,534,2,469749,높음,82.50%,17.50%,2.50%,422958,1027,533,36,32.14%,3.57%,64.29%,0.00%,0,0,0
X,w21wam,디지털/가전>생활가전,X,O,0.18,1830,1516,-17.16%,6589,8326,26.36%,5310,10,1593,있음,"9,10,11",337,2,3317444,높음,100.00%,0.00%,2.50%,1730348,9351,2035,346,44.44%,0.00%,51.85%,3.70%,1,1,1
X,삼성아기사랑세탁기,디지털/가전>생활가전,O,O,0.19,4890,4714,-3.60%,16321,13062,-19.97%,80265,8,8510,없음,없음,929,7,394236,높음,97.50%,2.50%,5.00%,419663,8981,3220,332,14.81%,22.22%,55.56%,7.41%,0,0,0
X,wf19t6000kw,디지털/가전>생활가전,X,O,0.19,2490,3009,20.84%,8025,8785,9.47%,45652,11,4338,없음,없음,483,5,746211,높음,100.00%,0.00%,2.50%,948060,34612,7696,1281,33.33%,0.00%,62.96%,3.70%,0,0,0
O,wl21egzu,디지털/가전>생활가전,X,O,0.19,1560,2348,50.51%,5054,9333,84.67%,32257,1,12027,있음,1,291,0,3693487,높음,100.00%,0.00%,20.00%,2579725,13035,2031,383,61.76%,0.00%,29.41%,8.82%,192,191,64
X,wf21dg6650bw,디지털/가전>생활가전,X,O,0.20,2050,0,,5470,0,,0,,0,없음,없음,410,0,952453,중간,100.00%,0.00%,2.50%,1150543,14333,6457,398,41.67%,0.00%,55.56%,2.78%,0,0,0
X,아쿠아픽구강세정기,디지털/가전>생활가전,O,O,0.20,4560,4305,-5.59%,16541,13219,-20.08%,80367,1,10050,없음,없음,892,34,55736,높음,100.00%,0.00%,25.00%,67825,75873,17223,2810,62.96%,7.41%,29.63%,0.00%,0,0,0
X,w2520wzm,디지털/가전>생활가전,X,O,0.20,2280,0,,7658,0,,0,,0,없음,없음,457,0,3496106,중간,100.00%,0.00%,2.50%,1899746,12527,3062,357,54.29%,8.57%,34.29%,2.86%,1,1,1
X,fh25esx,디지털/가전>생활가전,X,O,0.21,2140,0,,7240,0,,0,,0,없음,없음,444,0,3461178,높음,100.00%,0.00%,2.50%,3384650,364,141,10,8.33%,0.00%,88.89%,2.78%,141,141,141
X,wf2420hcwwc,디지털/가전>생활가전,X,O,0.21,2020,2069,2.43%,9571,10098,5.51%,25238,10,2647,없음,없음,424,0,1479104,높음,100.00%,0.00%,2.50%,1502708,19242,6457,712,48.15%,0.00%,48.15%,3.70%,0,0,0
X,wf21t6000kw,디지털/가전>생활가전,X,O,0.21,2400,2947,22.79%,7455,6012,-19.36%,23992,4,2553,없음,없음,505,0,871468,높음,100.00%,0.00%,2.50%,1263564,30407,6449,921,36.36%,0.00%,63.64%,0.00%,0,0,0
X,wa2525gehf,디지털/가전>생활가전,,X,0.21,2060,0,,7030,0,,0,,0,없음,없음,424,0,3847675,높음,100.00%,0.00%,0.00%,1110358,18395,7683,510,33.33%,8.33%,55.56%,2.78%,0,0,0
O,dv21dg8200bw,디지털/가전>생활가전,X,O,0.21,1110,0,,1960,0,,0,,0,없음,없음,237,0,1013948,높음,100.00%,0.00%,0.00%,922728,25941,6457,741,48.57%,5.71%,45.71%,0.00%,0,0,0
X,위닉스건조기,디지털/가전>생활가전,O,O,0.22,10550,12390,17.44%,33110,25973,-21.56%,218650,7,34878,없음,없음,2362,42,486003,높음,95.00%,5.00%,20.00%,425587,7693,1314,284,40.74%,0.00%,51.85%,7.41%,0,0,0
X,삼성스타일러,디지털/가전>생활가전,O,O,0.22,8300,10179,22.64%,20668,27110,31.17%,113701,1,13672,없음,없음,1792,621,553629,높음,77.50%,22.50%,0.00%,926164,1715,497,51,21.21%,0.00%,45.45%,33.33%,105,15,10
X,통돌이세탁기20kg,디지털/가전>생활가전,O,O,0.22,2680,2453,-8.47%,8333,6903,-17.16%,28508,8,2694,없음,없음,599,190,799960,높음,92.50%,7.50%,12.50%,820369,18788,7695,647,37.93%,0.00%,31.03%,31.03%,659,449,73
X,wf25dg8650bv,디지털/가전>생활가전,X,O,0.22,2200,0,,6084,0,,0,,0,없음,없음,478,0,1129151,높음,100.00%,0.00%,2.50%,1285046,16760,4025,478,37.14%,2.86%,60.00%,0.00%,0,0,0
X,fy9wtb,디지털/가전>생활가전,X,O,0.22,960,0,,3307,0,,5,11,5,있음,11,215,0,650653,높음,100.00%,0.00%,2.50%,615749,5350,616,152,2.86%,0.00%,97.14%,0.00%,0,0,0
O,청호연수기렌탈,디지털/가전>생활가전,O,O,0.22,370,0,,1233,0,,0,,0,없음,없음,82,0,29950,높음,100.00%,0.00%,0.00%,110606,941,471,29,3.13%,0.00%,96.88%,0.00%,0,0,0
X,직방도어락,디지털/가전>생활가전,O,O,0.23,12350,12816,3.77%,42958,38709,-9.89%,125331,3,12375,없음,없음,2805,167,300588,높음,100.00%,0.00%,30.00%,226450,8186,1508,303,77.78%,0.00%,22.22%,0.00%,0,0,0
X,tr15wv5,디지털/가전>생활가전,X,O,0.23,1610,0,,4925,0,,407,12,317,있음,12,373,0,528477,중간,100.00%,0.00%,2.50%,309572,11981,7710,342,25.71%,5.71%,68.57%,0.00%,0,0,0
X,sync도어락,디지털/가전>생활가전,O,O,0.24,3630,3746,3.20%,12215,11490,-5.94%,53199,7,5276,없음,없음,884,49,56104,높음,100.00%,0.00%,0.00%,67479,20872,6873,773,29.63%,7.41%,51.85%,11.11%,0,0,0
O,dv21dg8200bv,디지털/가전>생활가전,X,O,0.24,1060,0,,2032,0,,0,,0,없음,없음,253,0,1132597,높음,100.00%,0.00%,0.00%,941461,13042,5836,483,40.74%,0.00%,59.26%,0.00%,0,0,0
O,미닉스건조기,디지털/가전>생활가전,O,O,0.24,5230,5848,11.82%,15816,15280,-3.39%,85013,7,11140,없음,없음,1277,83,190487,높음,82.50%,17.50%,5.00%,327928,30611,3987,1133,29.63%,11.11%,55.56%,3.70%,0,0,0
X,삼성도어락,디지털/가전>생활가전,O,O,0.25,13200,11749,-10.99%,44741,33601,-24.90%,215614,7,21492,없음,없음,3304,366,149683,높음,100.00%,0.00%,17.50%,191554,14124,2522,523,48.15%,0.00%,48.15%,3.70%,0,0,0
X,wf21dg6650bv,디지털/가전>생활가전,X,O,0.25,1630,0,,4978,0,,0,,0,없음,없음,412,0,644909,높음,100.00%,0.00%,2.50%,1009292,12312,4027,342,41.67%,5.56%,52.78%,0.00%,0,0,0
X,wa25b8377kv,디지털/가전>생활가전,X,O,0.25,1300,1566,20.46%,3480,3141,-9.74%,12878,1,1306,없음,없음,331,0,526211,높음,100.00%,0.00%,2.50%,984875,18960,7683,677,25.00%,3.57%,71.43%,0.00%,0,0,0
X,게이트맨도어락,디지털/가전>생활가전,O,O,0.26,24840,21404,-13.83%,84244,62216,-26.15%,278299,7,33313,없음,없음,6375,96,175973,높음,100.00%,0.00%,42.50%,165363,4792,925,177,66.67%,0.00%,18.52%,14.81%,0,0,0
X,fy9wt,디지털/가전>생활가전,X,O,0.26,2460,0,,7308,0,,0,,0,없음,없음,650,31,456335,높음,100.00%,0.00%,2.50%,563710,5094,616,145,2.86%,0.00%,88.57%,8.57%,0,0,0
X,은성스팀다리미,디지털/가전>생활가전,O,O,0.26,2700,2447,-9.37%,7904,6016,-23.89%,49487,4,6216,없음,없음,693,89,151968,높음,100.00%,0.00%,15.00%,167639,1121,251,41,0.00%,7.41%,77.78%,14.81%,3,3,1
X,wl21wdu,디지털/가전>생활가전,X,O,0.26,1370,1789,30.58%,5372,5201,-3.18%,25384,1,3444,없음,없음,352,0,3234690,높음,100.00%,0.00%,15.00%,2788835,8187,2033,303,37.04%,0.00%,59.26%,3.70%,1,1,1
X,보만스팀다리미,디지털/가전>생활가전,O,O,0.27,3890,4075,4.76%,12337,10841,-12.13%,99251,4,12971,없음,없음,1069,104,60162,높음,87.50%,12.50%,37.50%,56985,66751,43280,2472,25.93%,14.81%,55.56%,3.70%,0,0,0
X,rh18wtsn,디지털/가전>생활가전,X,O,0.28,1640,2444,49.02%,3892,4708,20.97%,21326,7,2838,없음,없음,457,1,811611,높음,100.00%,0.00%,2.50%,950579,16125,6452,597,48.15%,0.00%,51.85%,0.00%,0,0,0
X,논보틀구강세정기,디지털/가전>생활가전,X,X,0.28,650,703,8.15%,2528,2771,9.61%,24759,5,8409,있음,"5,6",179,165,50883,중간,32.50%,67.50%,0.00%,49600,39187,17223,1451,29.63%,33.33%,29.63%,7.41%,1,1,1
O,wf2420hceec,디지털/가전>생활가전,X,O,0.28,1380,1275,-7.61%,4470,4240,-5.15%,21578,1,3147,없음,없음,380,0,1376810,높음,100.00%,0.00%,2.50%,1174346,6853,2038,190,16.67%,0.00%,83.33%,0.00%,0,0,0
X,wa18cg6k46bd,디지털/가전>생활가전,X,O,0.29,1060,877,-17.26%,3229,2418,-25.12%,18168,1,1811,없음,없음,305,0,290412,높음,100.00%,0.00%,2.50%,580736,32478,7696,1082,23.33%,10.00%,66.67%,0.00%,0,0,0
X,비스포크ai콤보,디지털/가전>생활가전,O,X,0.30,6970,8559,22.80%,21118,13927,-34.05%,232125,3,62998,있음,"3,4",2086,2,3434109,높음,100.00%,0.00%,12.50%,3002630,3579,2031,132,40.74%,0.00%,59.26%,0.00%,0,0,0
X,tr13ml2,디지털/가전>생활가전,X,O,0.30,1600,1892,18.25%,5247,4591,-12.50%,32478,1,3675,없음,없음,486,1,420829,높음,100.00%,0.00%,2.50%,382176,34509,7693,1278,29.63%,0.00%,44.44%,25.93%,473,448,68
X,wa2525egzf,디지털/가전>생활가전,X,O,0.30,1820,0,,7215,0,,0,,0,없음,없음,542,0,4164738,높음,100.00%,0.00%,5.00%,1824400,16491,4024,471,37.14%,5.71%,54.29%,2.86%,0,0,0
X,wa21a8376kv,디지털/가전>생활가전,X,O,0.31,2060,2332,13.20%,6289,5645,-10.24%,24864,1,2560,없음,없음,639,0,198232,높음,100.00%,0.00%,2.50%,443189,11600,3906,322,5.56%,13.89%,80.56%,0.00%,0,0,0
X,fh25vax,디지털/가전>생활가전,X,O,0.31,1150,1680,46.09%,2055,1727,-15.96%,7594,4,1030,없음,없음,353,0,2176881,높음,100.00%,0.00%,2.50%,2621620,8053,2037,298,48.15%,0.00%,48.15%,3.70%,0,0,0
X,rg20wn,디지털/가전>생활가전,X,O,0.32,1210,2909,140.41%,3884,17275,344.77%,3182,11,1059,있음,"10,11,12",393,0,1124313,높음,100.00%,0.00%,2.50%,1307266,16079,4024,472,47.06%,0.00%,47.06%,5.88%,191,191,96
X,f15wqwp,디지털/가전>생활가전,X,O,0.33,1720,1775,3.20%,9996,9224,-7.72%,49176,1,5047,없음,없음,576,0,406193,높음,97.50%,2.50%,10.00%,819238,27006,7697,1000,33.33%,0.00%,66.67%,0.00%,0,0,0
X,fg24vns,디지털/가전>생활가전,X,O,0.34,1380,1115,-19.20%,4810,3405,-29.21%,14115,1,2220,없음,없음,463,0,633526,높음,97.50%,2.50%,2.50%,1094244,10096,5836,280,38.89%,0.00%,52.78%,8.33%,3,3,1
X,dv21dg8600bw,디지털/가전>생활가전,X,O,0.34,1440,0,,3477,0,,0,,0,없음,없음,496,0,321776,높음,100.00%,0.00%,2.50%,1541363,4664,2185,172,0.00%,37.04%,62.96%,0.00%,0,0,0
X,삼성통돌이세탁기16kg,디지털/가전>생활가전,O,O,0.35,1170,962,-17.78%,4118,2777,-32.56%,24061,8,2519,없음,없음,407,0,549427,높음,100.00%,0.00%,0.00%,470781,25060,7698,928,29.63%,0.00%,66.67%,3.70%,450,450,450
X,f21vdsk,디지털/가전>생활가전,X,O,0.36,2150,2435,13.26%,7464,5950,-20.28%,31670,1,3349,없음,없음,772,11,1223373,높음,97.50%,2.50%,2.50%,1035195,24595,4026,910,29.63%,0.00%,55.56%,14.81%,4446,1482,1112
O,q8무전기,디지털/가전>생활가전,O,O,0.36,850,0,,850,0,,0,,0,없음,없음,306,128,225153,높음,95.00%,5.00%,2.50%,241727,73,33,2,0.00%,7.41%,33.33%,59.26%,33,33,2
X,t19mx8b,디지털/가전>생활가전,X,O,0.36,1130,1336,18.23%,2818,2808,-0.35%,11030,10,1321,없음,없음,403,0,1207789,높음,100.00%,0.00%,2.50%,1151673,10827,2390,386,25.00%,3.57%,67.86%,3.57%,450,450,450
X,sc5gmr80a,디지털/가전>생활가전,X,O,0.36,2280,0,,7152,0,,0,,0,없음,없음,815,0,1299258,중간,100.00%,0.00%,5.00%,1251770,838,244,23,22.22%,0.00%,72.22%,5.56%,3,2,2
X,tr16mv6,디지털/가전>생활가전,X,O,0.36,1290,0,,4181,0,,0,,0,없음,없음,459,0,463991,높음,100.00%,0.00%,2.50%,442947,20960,7709,582,13.89%,2.78%,83.33%,0.00%,0,0,0
X,코콤도어락,디지털/가전>생활가전,O,O,0.37,4760,4506,-5.34%,15306,13088,-14.49%,32234,8,3371,없음,없음,1774,28,88281,높음,100.00%,0.00%,7.50%,137567,3744,2529,138,29.63%,11.11%,59.26%,0.00%,0,0,0
X,삼성세탁기건조기일체형,디지털/가전>생활가전,O,O,0.37,3170,2647,-16.50%,9551,4399,-53.94%,103522,3,15783,없음,없음,1187,0,2416851,높음,100.00%,0.00%,5.00%,2127629,16883,6455,625,74.07%,0.00%,25.93%,0.00%,0,0,0
X,워터픽구강세정기,디지털/가전>생활가전,O,O,0.38,7800,6934,-11.10%,28137,21818,-22.46%,117120,7,11529,없음,없음,2980,1840,101205,높음,80.00%,20.00%,22.50%,82859,54018,17224,2000,51.85%,25.93%,11.11%,11.11%,1,1,0
O,wf21cb6650bw,디지털/가전>생활가전,X,O,0.38,2480,2512,1.29%,6157,7066,14.76%,18036,7,2317,없음,없음,945,2,918930,높음,80.00%,20.00%,2.50%,1120275,15746,6451,583,44.44%,0.00%,51.85%,3.70%,0,0,0
X,콘에어스팀다리미,디지털/가전>생활가전,O,O,0.40,3680,2949,-19.86%,10207,8107,-20.57%,53227,5,6794,없음,없음,1479,487,78256,높음,100.00%,0.00%,42.50%,78912,62304,43270,2307,59.26%,11.11%,22.22%,7.41%,0,0,0
